player,bats,slot,team_side,park,vs_sp,sp_throws,talent_hr_pa,matchup_rate,env_mult,rate_tonight,p_hr_tonight,fair_odds,bbe_sample
"Gilbert, Drew",L,6,away,TEX,Cal Quantrill,R,0.0196,0.0233,1.01,0.0235,0.0879,+1038,163
"Lee, Jung Hoo",L,2,away,TEX,Cal Quantrill,R,0.0176,0.021,1.01,0.0212,0.0867,+1054,257
"Giménez, Andrés",L,8,away,HOU,Cristian Javier,R,0.0222,0.0213,1.06,0.0226,0.0862,+1061,195
"Johnston, Troy",L,8,home,COL,Ian Seymour,L,0.0214,0.0268,1.005,0.0269,0.0849,+1078,65
"Gonzalez, Jacob",L,8,away,MIL,Brandon Sproat,R,0.0209,0.0197,1.06,0.0209,0.0803,+1145,83
"Straw, Myles",R,9,away,HOU,Cristian Javier,R,0.0198,0.0214,1.05,0.0224,0.0802,+1147,71
"Vaughn, Andrew",R,6,home,MIL,Bubba Chandler,R,0.0242,0.0172,1.04,0.0179,0.0795,+1158,98
"Clement, Ernie",R,7,away,HOU,Cristian Javier,R,0.0174,0.0188,1.05,0.0197,0.0747,+1239,276
"Wynns, Austin",R,8,home,TEX,Logan Webb,R,0.0229,0.0186,1.0,0.0186,0.0734,+1262,24
"Freeman, Tyler",R,7,home,COL,Ian Seymour,L,0.0169,0.0184,1.024,0.0188,0.0669,+1394,73
"Mangum, Jake",L,1,away,MIL,Brandon Sproat,R,0.0144,0.0136,1.06,0.0144,0.0668,+1398,176
"Hoerner, Nico",R,6,home,CHC,Justin Wrobleski,L,0.0151,0.0189,1.028,0.0194,0.0644,+1452,104
"Ortiz, Joey",R,9,home,MIL,Bubba Chandler,R,0.0214,0.0152,1.04,0.0158,0.0635,+1476,136
"Lukes, Nathan",L,1,away,HOU,Cristian Javier,R,0.0134,0.0129,1.06,0.0136,0.063,+1487,183
"Nuñez, Nasim",L,7,away,PHI,Aaron Nola,R,0.0093,0.0108,1.218,0.0132,0.0492,+1934,172
"Lopez, Nicky",L,9,home,TEX,Logan Webb,R,0.0121,0.0114,1.01,0.0115,0.0424,+2259,105
"Simpson, Chandler",L,6,away,COL,Michael Lorenzen,R,0.0073,0.0098,1.005,0.0099,0.0363,+2655,236
