pitcher,stand,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
572955,L,3,44,5,8,95.86538461538461,"Mayer, Marcelo",L,69,0.11363636363636363,0.18181818181818182,0.6376811594202898,0.04375362318840579,0.03315934186482286,0.196
573009,L,1,23,3,1,94.3,"Muncy, Max",L,35,0.13043478260869565,0.043478260869565216,0.6571428571428571,0.049800000000000004,0.032748439199164855,0.113
573124,L,0,67,1,9,87.18928571428572,"Basallo, Samuel",L,97,0.014925373134328358,0.13432835820895522,0.6907216494845361,0.0075979381443298955,0.0243384413485853,0.271
573204,L,3,40,4,5,93.78095238095239,"Wood, James",L,56,0.1,0.125,0.7142857142857143,0.04267857142857143,0.032771254611696915,0.182
579328,L,1,21,2,6,94.93333333333334,"Alvarez, Yordan",L,33,0.09523809523809523,0.2857142857142857,0.6363636363636364,0.03812121212121212,0.031358600059581694,0.104
592094,L,1,51,3,7,91.41851851851852,"Naylor, Josh",L,64,0.058823529411764705,0.13725490196078433,0.796875,0.028921875,0.030205838884980366,0.221
592155,L,1,18,1,4,94.96000000000001,"Greene, Riley",L,37,0.05555555555555555,0.2222222222222222,0.4864864864864865,0.017486486486486486,0.029380252091854655,0.091
592332,L,6,218,15,32,92.70566037735848,"Kurtz, Nick",L,309,0.06880733944954129,0.14678899082568808,0.7055016181229773,0.02977669902912621,0.03013531041653261,0.548
592454,L,1,18,3,2,101.85714285714286,"Cowser, Colton",L,24,0.16666666666666666,0.1111111111111111,0.75,0.073375,0.034461026047628615,0.091
592662,L,1,89,5,8,88.57674418604651,"Bellinger, Cody",L,133,0.056179775280898875,0.0898876404494382,0.6691729323308271,0.022699248120300747,0.027965673755156992,0.331
592773,L,4,51,3,12,92.83448275862068,"Palacios, Richie",L,84,0.058823529411764705,0.23529411764705882,0.6071428571428571,0.023107142857142854,0.028922066853440478,0.221
592779,L,1,11,0,3,89.375,"Yastrzemski, Mike",L,23,0.0,0.2727272727272727,0.4782608695652174,0.0023478260869565213,0.028944289237628203,0.058
592791,L,14,118,20,20,93.76341463414634,"Lowe, Josh",L,171,0.1694915254237288,0.1694915254237288,0.6900584795321637,0.06935672514619881,0.04592827759960377,0.396
592826,L,0,6,0,0,95.73333333333333,"Kim, Hyeseong",L,7,0.0,0.0,0.8571428571428571,0.0,0.02958351159908852,0.032
592836,L,6,59,8,5,91.97714285714285,"García Jr., Luis",L,75,0.13559322033898305,0.0847457627118644,0.7866666666666666,0.06253333333333333,0.038460250310029837,0.247
592866,L,0,7,0,1,82.25,"Giménez, Andrés",L,9,0.0,0.14285714285714285,0.7777777777777778,0.002,0.029500177312462378,0.037
593958,L,3,119,13,15,95.31428571428572,"Tucker, Kyle",L,156,0.1092436974789916,0.12605042016806722,0.7628205128205128,0.04964743589743589,0.038162468325168356,0.398
593974,L,2,81,4,13,94.68666666666667,"McGonigle, Kevin",L,119,0.04938271604938271,0.16049382716049382,0.680672268907563,0.02129411764705882,0.027691021788667548,0.31
594027,L,1,32,1,4,90.85555555555555,"Clemens, Kody",L,54,0.03125,0.125,0.5925925925925926,0.011981481481481478,0.02776387058885789,0.151
594580,L,2,56,4,4,92.46315789473684,"Duran, Jarren",L,109,0.07142857142857142,0.07142857142857142,0.5137614678899083,0.021761467889908254,0.02847955660705647,0.237
594798,L,10,180,16,37,94.26565656565656,"Henderson, Gunnar",L,278,0.08888888888888889,0.20555555555555555,0.6474820143884892,0.03548920863309352,0.033029418642742496,0.5
594835,L,0,8,1,1,93.14,"Peters, Tristan",L,12,0.125,0.125,0.6666666666666666,0.049416666666666664,0.031371630270020205,0.043
595014,L,1,24,4,4,100.04615384615384,"Santana, Carlos",L,36,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.06588888888888889,0.03472483573903823,0.118
595345,L,2,69,4,16,88.9974358974359,"Lowe, Josh",L,100,0.057971014492753624,0.2318840579710145,0.69,0.025879999999999997,0.029270093001728774,0.277
595978,L,0,3,0,1,93.6,"Pederson, Joc",L,3,0.0,0.3333333333333333,1.0,0.005999999999999999,0.030166847854811284,0.016
