batter,p_throws,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
682829,L,10,99,20,5,97.26470588235294,"De La Cruz, Elly",R,163,0.20202020202020202,0.050505050505050504,0.6073619631901841,0.0711042944785276,0.05493047485896909,0.623
682848,L,1,13,1,3,91.65714285714286,"Rodríguez, Endy",R,28,0.07692307692307693,0.23076923076923078,0.4642857142857143,0.022464285714285718,0.027214466623117363,0.178
682877,L,0,14,2,7,91.91,"Brito, Juan",R,25,0.14285714285714285,0.5,0.56,0.051039999999999995,0.03255649120543045,0.189
682927,L,0,10,1,2,97.4,"Simon, Ronny",R,12,0.1,0.2,0.8333333333333334,0.050916666666666666,0.031482671655264576,0.143
682928,L,7,115,10,17,92.70877192982455,"Abrams, CJ",L,188,0.08695652173913043,0.14782608695652175,0.6117021276595744,0.03221276595744681,0.03085193391033278,0.657
682985,L,5,96,10,17,93.23035714285713,"Greene, Riley",L,167,0.10416666666666667,0.17708333333333334,0.5748502994011976,0.03626347305389221,0.033178934374201954,0.615
682987,L,2,28,4,2,93.83888888888889,"Jones, Spencer",L,46,0.14285714285714285,0.07142857142857142,0.6086956521739131,0.05078260869565217,0.03541515218954675,0.318
682988,L,0,7,0,1,83.325,"Locklear, Tyler",R,13,0.0,0.14285714285714285,0.5384615384615384,0.0013846153846153845,0.025437502341703895,0.104
682997,L,0,6,0,1,84.925,"Callihan, Tyler",L,7,0.0,0.16666666666666666,0.8571428571428571,0.002571428571428571,0.02590983213076401,0.091
682998,L,5,124,10,17,95.41499999999999,"Carroll, Corbin",L,195,0.08064516129032258,0.13709677419354838,0.6358974358974359,0.03105641025641025,0.030139213157590893,0.674
683002,L,8,146,6,23,91.41475409836066,"Henderson, Gunnar",L,210,0.0410958904109589,0.15753424657534246,0.6952380952380952,0.018399999999999996,0.021267089073795403,0.709
683011,L,1,63,4,11,92.009375,"Volpe, Anthony",R,87,0.06349206349206349,0.1746031746031746,0.7241379310344828,0.028712643678160916,0.02848387724330074,0.512
683021,L,0,12,0,2,87.83333333333333,"Stefanic, Michael",R,16,0.0,0.16666666666666666,0.75,0.00225,0.02391139373891463,0.167
683083,L,1,93,1,13,88.48108108108109,"Nuñez, Nasim",R,138,0.010752688172043012,0.13978494623655913,0.6739130434782609,0.00586231884057971,0.014639320270429846,0.608
683090,L,0,0,0,0,,"Lugo, Matthew",R,2,0.0,0.0,0.0,0.0,0.028243672486697555,0.0
683146,L,0,45,3,3,95.8,"Baty, Brett",L,82,0.06666666666666667,0.06666666666666667,0.5487804878048781,0.02169512195121951,0.025437150828635534,0.429
683227,L,1,34,1,4,88.65333333333334,"Freeman, Cody",R,47,0.029411764705882353,0.11764705882352941,0.723404255319149,0.013765957446808511,0.02300705215312067,0.362
